* Nuclear physics materials
1-2 Difluorethene,H2 C2 F2,0.0026621
Ethane,H6 C2,0.0012501
Ethane - Hexafluoride,C2 F6,0.0057376
Ether Dimethyl ,H6 C2 O1,0.0019153
Ethylene,H4 C2,0.0011663
Ethylene Sulfide,H4 C2 S1,0.0024994
Hydrogen Sulfide,H2 S1,0.0014169
Methane,H4 C1,0.00066697
Methane Chloro-Tri.Freongas,C1 F3 CL1,0.0043427
Methane Dichloro-Di. Freon-12,C1 F2 CL2,0.0050268
Methane Dichloro-Fl. Freon-21,H1 C1 F1 CL2,0.0042789
Nitric Oxide,N1 O1,0.0012475
Nitrous Oxide,N2 O1,0.0018298
P10 (10% Methane in Argon) **,C2 H8 Ar90,0.00159 
Propane,H8 C3,0.0018333
Propylene Sulfide,H6 C3 S1,0.0030826
Sulfur Hexafluoride,F6 S1,0.006072
Water vapor,H2 O1,0.00074895
